ID (AXXXX);Area;Collector_site;Sorted_as;Collection;Weight [gram];Product type (#);Manufacturing method (K, T, Others (O), Unknown (U));Membrane (0,1);Color;Wearer/purpose (M, F, U);Age category (A, C, B);Brand Source (0,1);Company/brand;Number of velcro  (0,1+);Number of metal buttons  (0,1+);Number of plastic buttons  (0,1+);Number of metal zippers  (0,1+);Number of plastic zippers  (0,1+);Number of metal rivets, eyelets or aglets (0,1+);Number of pearls (0,1+);Sequins (0,1);Reflector (0,1+);Print (0,1);Print > 100 cm² (0,1);All over printed (0,1);Other extra parts (0,1+);Care Label Present (0,1);Readable label (0,1);Number of Layers (1+);Number of fibre (1+);Made in;Year present obvious (0,1);Production year (XXXX);Guess Year (n, o, u);Code (CVR/CA/RN) if no brand;Price Tag (0,1);Degree-of-wear (Condition scale, 1-5);Holes in front (0,1+);Holes in total (0,1+);Homemade (0,1);Fibre 1 Layer 1;Fibre 1 Layer 1 [%];Fibre 2 Layer 1;Fibre 2 Layer 1 [%];Fibre 3 Layer 1;Fibre 3 Layer 1 [%];Fibre 4 Layer 1;Fibre 4 Layer 1 [%];Fibre 5 Layer 1;Fibre 5 Layer 1 [%];Fibre 6 Layer 1;Fibre 6 Layer 1 [%];Fibre 1 Layer 2;Fibre 1 Layer 2 [%];Fibre 2 Layer 2;Fibre 2 Layer 2 [%];Fibre 3 Layer 2;Fibre 3 Layer 2 [%];Fibre 4 Layer 2;Fibre 4 Layer 2 [%];Fibre 5 Layer 2;Fibre 5 Layer 2 [%];Fibre 6 Layer 2;Fibre 6 Layer 2 [%];Fibre 1 Layer 3;Fibre 1 Layer 3 [%];Fibre 2 Layer 3;Fibre 2 Layer 3 [%];Fibre 3 Layer 3;Fibre 3 Layer 3 [%];Fibre 4 Layer 3;Fibre 4 Layer 3 [%];Fibre 5 Layer 3;Fibre 5 Layer 3 [%];Fibre 1 Layer 4;Fibre 1 Layer 4 [%];Fibre 2 Layer 4;Fibre 2 Layer 4 [%]
A0066;Aalesund;Attvin_multiple;T_waste;Central;289;9;t;NaN;black;f;a;1;lindex;NaN;0;1;1;1;0;0;0;NaN;0;0;NaN;NaN;1;1;2;3;chn;NaN;NaN;n;NaN;0;5;NaN;0;0;polyester;64;viscose;33;elastane;3;NaN;NaN;NaN;NaN;NaN;NaN;polyester;92;elastane;8;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
A0067;Aalesund;Attvin_multiple;T_waste;Central;125;9;t;NaN;multi-color pattern;f;a;0;NaN;NaN;0;0;0;0;0;0;0;NaN;0;0;NaN;NaN;0;0;1;NaN;nor;NaN;NaN;n;NaN;0;4;NaN;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
A0068;Aalesund;Attvin_multiple;T_waste;Central;200;5;t;NaN;black;f;a;1;cubus;NaN;0;0;0;0;0;0;0;NaN;0;0;NaN;NaN;1;1;1;2;chn;NaN;NaN;n;NaN;0;4;NaN;0;0;polyester;85;elastane;15;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
A0069;Aalesund;Attvin_multiple;T_waste;Central;30;21;t;NaN;multi-color pattern;f;a;0;NaN;NaN;0;0;0;0;0;0;0;NaN;0;0;NaN;NaN;0;0;1;NaN;not declared;NaN;NaN;n;NaN;0;4;NaN;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
A0070;Aalesund;Attvin_multiple;T_waste;Central;182;5;t;NaN;black;f;a;1;cubus;NaN;0;0;0;0;0;0;0;NaN;0;0;NaN;NaN;1;1;1;2;chn;NaN;NaN;n;NaN;0;4;NaN;0;0;polyester;85;elastane;15;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
A0071;Aalesund;Attvin_multiple;T_waste;Central;531;18;t;NaN;black;u;a;0;NaN;NaN;0;0;0;0;0;0;0;NaN;0;0;NaN;NaN;1;1;1;1;chn;NaN;NaN;n;NaN;0;4;NaN;0;0;polyester;100;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
A0072;Aalesund;Attvin_multiple;T_waste;Central;101;26;t;NaN;white;f;a;1;casual wear adelstein;NaN;0;5;0;0;0;0;0;NaN;0;0;NaN;NaN;1;1;1;1;not declared;NaN;NaN;o;NaN;0;3;NaN;0;0;viscose;100;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
A0073;Aalesund;Attvin_multiple;T_waste;Central;232;4;t;NaN;multi-color striped;m;a;1;sand;NaN;0;8;0;0;0;0;0;NaN;0;0;NaN;NaN;1;1;1;1;eur;NaN;NaN;n;NaN;0;5;NaN;0;0;cotton;100;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
A0081;Aalesund;Attvin_multiple;T_waste;Central;510;5;t;0;blue;f;a;1;floyd;NaN;1;0;1;0;4;0;0;NaN;0;0;NaN;NaN;1;0;1;4;chn;0;NaN;NaN;NaN;0;4;0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
A0082;Aalesund;Attvin_multiple;T_waste;Central;456;5;t;0;grey;f;b;1;zara;NaN;1;0;1;0;2;0;0;NaN;0;0;NaN;NaN;0;0;1;2;not declared;0;NaN;NaN;NaN;0;4;0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
A0083;Aalesund;Attvin_multiple;T_waste;Central;416;5;t;0;blue;f;c;1;lee;NaN;0;0;0;0;0;0;0;NaN;0;0;NaN;NaN;1;1;1;3;bgd;0;NaN;NaN;l30chazv;0;4;0;0;0;cotton;85,5;polyester;13;elastane;1,5;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
A0084;Aalesund;Attvin_multiple;T_waste;Central;161;1;t;0;black;u;a;1;clique;NaN;0;0;0;0;0;0;0;NaN;1;0;NaN;NaN;1;1;1;1;bgd;0;NaN;NaN;NaN;0;5;0;0;0;cotton;100;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
A0085;Aalesund;Attvin_multiple;T_waste;Central;150;1;t;0;green;u;a;1;norrøna;NaN;0;0;0;0;0;0;0;NaN;1;1;NaN;NaN;1;1;1;1;chn;0;NaN;NaN;106545;0;4;0;0;0;cotton;100;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
A0086;Aalesund;Attvin_multiple;T_waste;Central;157;1;t;0;multi-color;u;a;1;norrøna;NaN;0;0;0;0;0;0;0;NaN;1;1;NaN;NaN;1;1;1;1;chn;0;NaN;NaN;107249;0;5;0;0;0;polyester;100;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
A0087;Aalesund;Attvin_multiple;T_waste;Central;247;26;t;0;multi-color;m;c;1;h&m;NaN;0;0;0;0;0;0;0;NaN;0;0;NaN;NaN;1;1;1;2;bgd;0;NaN;NaN;o/n 262143;0;4;0;0;0;cotton;80;polyester;20;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
A0088;Aalesund;Attvin_multiple;T_waste;Central;95;1;t;0;red;f;a;1;tara;NaN;0;0;0;0;0;0;0;NaN;0;0;NaN;NaN;0;0;1;1;not declared;0;NaN;NaN;NaN;0;4;0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
A0089;Aalesund;Attvin_multiple;T_waste;Central;89;5;t;0;multi-color;u;a;0;NaN;NaN;0;0;0;0;0;0;0;NaN;0;0;NaN;NaN;1;1;1;1;chn;0;NaN;NaN;7,0946E+14;0;4;0;0;0;cotton;100;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
A0090;Aalesund;Attvin_multiple;T_waste;Central;393;6;t;NaN;orange;m;a;1;norrøna;NaN;2;0;0;8;0;0;0;NaN;1;0;NaN;NaN;1;1;1;2;vnm;NaN;NaN;n;NaN;0;2;NaN;0;0;polyamide or nylon;100;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;polyamide or nylon;88;elastane;12;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
A0091;Aalesund;Attvin_multiple;T_waste;Central;267;27;t;NaN;black;m;a;1;peak performance;NaN;0;0;0;0;0;0;0;NaN;1;0;NaN;NaN;1;1;3;1;not declared;NaN;NaN;o;NaN;0;4;NaN;0;1;polyester;100;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
A0092;Aalesund;Attvin_multiple;T_waste;Central;333;11;t;NaN;multi-color;f;a;1;kari traa;NaN;0;0;0;3;0;0;0;NaN;1;0;NaN;NaN;1;1;2;2;chn;NaN;NaN;n;NaN;0;5;NaN;0;0;polyester;100;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;polyester;91;elastane;9;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
A0093;Aalesund;Attvin_multiple;T_waste;Central;277;9;t;NaN;grey;f;a;1;brandsdal;NaN;0;0;0;0;0;0;0;NaN;0;0;NaN;NaN;1;1;1;2;chn;NaN;NaN;n;NaN;0;5;NaN;0;0;viscose;95;elastane;5;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
A0094;Aalesund;Attvin_multiple;T_waste;Central;111;1;t;NaN;white;f;a;1;vero moda;NaN;0;0;0;0;0;0;0;NaN;0;0;NaN;NaN;0;0;1;NaN;not declared;NaN;NaN;n;NaN;0;4;NaN;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
A0095;Aalesund;Attvin_multiple;T_waste;Central;178;1;t;NaN;blue;m;a;1;batistini;NaN;0;3;0;0;0;0;0;NaN;0;0;NaN;NaN;1;1;1;2;tur;NaN;NaN;n;NaN;0;4;NaN;0;0;cotton;70;polyester;30;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
A0096;Aalesund;Attvin_multiple;T_waste;Central;183;1;t;NaN;black;f;a;1;zara;NaN;0;0;0;0;0;0;0;NaN;0;0;NaN;NaN;1;1;1;NaN;prt;NaN;NaN;n;NaN;0;4;NaN;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
A01000;Aalesund;Attvin_multiple;T_waste;Central;567;11;t;0;green;u;a;1;adidas;0;0;0;0;3;0;0;0;0;1;0;NaN;0;1;1;4;1;phl;0;NaN;o;NaN;0;5;0;0;0;polyester;100;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;polyester;100;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;polyester;100;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
A0106;Aalesund;Attvin_multiple;T_waste;Central;261;2;t;NaN;white;f;a;1;va vite;NaN;0;7;0;0;0;0;0;NaN;0;0;NaN;NaN;1;1;1;3;chn;NaN;NaN;n;NaN;0;4;NaN;0;0;cotton;55;acrylic;40;elastane;5;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
A0107;Aalesund;Attvin_multiple;T_waste;Central;255;11;t;NaN;black;f;a;1;missing link;NaN;0;0;3;0;0;0;0;NaN;0;0;NaN;NaN;1;1;1;2;eu-27;NaN;NaN;n;NaN;0;4;NaN;0;0;polyester;93;fluorofibre;7;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
A0108;Aalesund;Attvin_multiple;T_waste;Central;621;11;t;NaN;red;f;a;1;jean paul;NaN;9;0;1;0;4;0;0;NaN;1;0;NaN;NaN;1;1;1;1;not declared;NaN;NaN;o;NaN;0;3;NaN;0;0;polyamide or nylon;100;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
A0109;Aalesund;Attvin_multiple;T_waste;Central;280;3;t;NaN;multi-color pattern;f;a;1;ki-ki of norway;NaN;0;0;0;0;0;0;0;NaN;0;0;NaN;NaN;1;1;1;1;gbr;NaN;NaN;o;NaN;0;4;NaN;0;0;polyester;100;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
A0110;Aalesund;Attvin_multiple;T_waste;Central;106;1;t;NaN;yellow;f;a;1;gina tricot;NaN;0;0;0;0;0;0;0;NaN;0;0;NaN;NaN;1;1;1;1;bgd;NaN;NaN;n;NaN;0;5;NaN;0;0;cotton;100;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
A0113;Aalesund;Attvin_multiple;T_waste;Central;85;26;t;0;red;f;c;1;chèrie;NaN;0;4;0;0;0;0;0;NaN;0;0;NaN;NaN;1;1;1;2;not declared;0;NaN;NaN;90604;0;4;0;0;0;cotton;80;polyester;20;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
A0114;Aalesund;Attvin_multiple;T_waste;Central;192;12;t;0;red;f;c;1;juno;NaN;2;4;0;0;0;0;0;NaN;0;0;NaN;NaN;0;0;1;2;not declared;0;NaN;NaN;NaN;0;3;0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
A0115;Aalesund;Attvin_multiple;T_waste;Central;299;12;k;0;red;f;c;0;NaN;NaN;0;0;0;1;0;0;0;NaN;0;0;NaN;NaN;0;0;1;1;not declared;NaN;NaN;NaN;NaN;0;4;0;0;1;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
A0116;Aalesund;Attvin_multiple;T_waste;Central;501;26;t;0;blue;m;a;1;tommy hilfiger;NaN;0;0;0;0;0;0;0;NaN;1;1;NaN;NaN;1;1;1;2;not declared;0;NaN;NaN;rn 77806;0;4;0;0;0;polyester;75;cotton;25;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
A0117;Aalesund;Attvin_multiple;T_waste;Central;208;2;k;0;blue;u;a;1;ffdvar;NaN;0;0;0;1;0;0;0;NaN;0;0;NaN;NaN;1;1;1;3;not declared;0;NaN;NaN;NaN;0;4;0;0;0;polyester;80;polyamide or nylon;15;elastane;5;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
A0118;Aalesund;Attvin_multiple;T_waste;Central;294;6;t;0;blue;u;a;1;norrøna;NaN;2;0;0;1;0;0;0;NaN;0;0;NaN;NaN;1;1;1;1;not declared;0;NaN;NaN;4353-10;0;4;0;0;0;polyamide or nylon;100;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
A0119;Aalesund;Attvin_multiple;T_waste;Central;230;12;k;0;multi-color;u;c;0;NaN;NaN;NaN;0;0;0;0;0;0;NaN;0;0;NaN;NaN;0;0;1;NaN;not declared;0;NaN;NaN;NaN;0;3;1;1;1;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
A0120;Aalesund;Attvin_multiple;T_waste;Central;271;1;t;0;black;m;a;1;yôke;NaN;0;0;0;0;0;0;0;NaN;1;0;NaN;NaN;1;1;1;1;bgd;0;NaN;NaN;7,2537E+14;0;4;0;0;0;cotton;100;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
A0121;Aalesund;Attvin_multiple;T_waste;Central;735;5;t;0;blue;m;a;1;dressmann;NaN;1;0;1;0;6;0;0;NaN;0;0;NaN;NaN;1;1;1;2;bgd;0;NaN;NaN;38-30;0;4;0;0;0;cotton;98;elastane;2;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
A0123;Aalesund;Attvin_multiple;T_waste;Central;117;8;t;0;multi-color pattern;f;c;0;NaN;0;6;2;0;0;0;0;0;0;0;0;NaN;0;1;1;1;2;usa;0;NaN;n;NaN;0;5;0;0;0;polyester;80;cotton;20;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
A0124;Aalesund;Attvin_multiple;T_waste;Central;358;5;t;0;grey;f;c;1;lindex;0;0;0;0;0;0;0;0;0;0;0;NaN;0;1;1;3;3;bgd;0;NaN;n;NaN;0;3;0;0;0;cotton;77;polyester;22;viscose;1;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
A0125;Aalesund;Attvin_multiple;T_waste;Central;167;5;t;0;grey;f;c;1;h&m;0;0;0;0;0;0;0;0;0;0;0;NaN;0;1;1;2;2;bgd;0;NaN;n;NaN;0;4;0;0;0;cotton;60;polyester;40;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
A0126;Aalesund;Attvin_multiple;T_waste;Central;30;27;k;0;red;f;a;1;norrøna;0;0;0;0;0;0;0;0;0;1;1;NaN;0;1;1;1;1;chn;0;NaN;n;NaN;0;5;0;0;0;wool;100;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
A0127;Aalesund;Attvin_multiple;T_waste;Central;70;12;t;0;multi-color;f;b;1;reflex;0;5;0;0;0;0;0;0;0;1;1;NaN;0;1;1;2;2;not declared;1;NaN;n;NaN;0;4;0;0;0;cotton;95;elastane;5;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
A0128;Aalesund;Attvin_multiple;T_waste;Central;122;1;t;0;grey;f;a;1;house;0;0;0;0;0;0;0;0;0;1;1;NaN;0;1;1;2;2;bgd;0;NaN;n;NaN;0;4;0;0;0;cotton;70;viscose;30;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
A0129;Aalesund;Attvin_multiple;T_waste;Central;274;26;k;0;green;f;a;1;vila;0;0;0;0;0;0;0;0;0;0;0;NaN;0;1;1;1;1;bgd;0;NaN;n;NaN;0;5;0;0;0;cotton;100;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
A0130;Aalesund;Attvin_multiple;T_waste;Central;151;1;t;0;blue;m;a;1;nike;0;0;0;0;0;0;0;0;0;1;0;NaN;0;1;1;1;1;vnm;0;NaN;n;NaN;0;5;0;0;0;cotton;100;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
A0131;Aalesund;Attvin_multiple;T_waste;Central;444;14;t;0;white;u;a;0;NaN;0;0;0;0;0;0;0;0;0;0;0;NaN;0;0;0;1;NaN;not declared;0;NaN;n;NaN;0;1;0;1;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
